state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,0.0,0.5,1.0,F,0.5,Married,Corporate Auto,L3,1,Agent,Two-Door Car,0.5
Arizona,No,0.5,0.5,0.0,F,0.5,Single,Personal Auto,L3,3,Agent,Four-Door Car,0.5
Nevada,No,1.0,0.5,1.0,F,0.5,Married,Personal Auto,L3,1,Agent,Two-Door Car,0.5
California,No,0.0,0.5,0.0,M,0.5,Married,Corporate Auto,L2,1,Call Center,SUV,0.5
Washington,No,0.0,0.5,1.0,M,0.0,Single,Personal Auto,L1,1,Agent,Four-Door Car,0.5
Oregon,Yes,0.0,0.5,1.0,F,0.0,Married,Personal Auto,L3,2,Web,Two-Door Car,0.5
Oregon,Yes,0.0,0.5,1.0,F,0.5,Married,Corporate Auto,L3,1,Agent,Four-Door Car,0.5
Arizona,No,1.0,1.0,0.0,M,1.0,Single,Corporate Auto,L3,1,Agent,Four-Door Car,0.5
Oregon,Yes,0.0,0.5,2.0,M,0.5,Divorced,Corporate Auto,L3,1,Agent,Four-Door Car,0.5
Oregon,No,0.5,0.5,1.0,F,1.0,Married,Special Auto,L2,2,Branch,Four-Door Car,0.5
California,No,0.0,0.5,0.0,M,0.5,Single,Personal Auto,L3,1,Agent,Four-Door Car,0.0
California,No,0.0,0.5,0.0,F,0.5,Married,Personal Auto,L3,2,Agent,SUV,0.5
California,No,1.0,1.0,1.0,M,1.0,Married,Corporate Auto,L1,2,Agent,Four-Door Car,0.5
Arizona,Yes,0.0,0.0,1.0,M,0.5,Married,Corporate Auto,L3,2,Branch,SUV,0.5
California,No,0.0,0.5,1.0,M,1.0,Single,Corporate Auto,L3,4,Call Center,Four-Door Car,0.5
Oregon,No,0.0,0.5,1.0,F,0.0,Married,Corporate Auto,L2,2,Branch,Four-Door Car,0.5
Nevada,No,0.0,0.0,2.0,M,0.5,Married,Personal Auto,L3,2,Call Center,Two-Door Car,0.5
California,No,0.0,0.5,2.0,M,0.5,Married,Personal Auto,L2,3,Call Center,SUV,0.5
Oregon,No,0.0,0.5,1.0,M,1.0,Married,Personal Auto,L2,2,Branch,Four-Door Car,0.5
California,No,1.0,0.0,1.0,F,0.5,Married,Corporate Auto,L2,1,Call Center,Four-Door Car,0.0
Oregon,No,0.0,0.0,1.0,M,0.5,Single,Personal Auto,L2,1,Branch,Two-Door Car,0.5
Washington,No,0.5,0.5,2.0,F,0.5,Divorced,Personal Auto,L3,4,Call Center,Four-Door Car,0.5
Arizona,Yes,0.0,0.5,2.0,M,0.5,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,0.5
Nevada,No,0.0,0.5,0.0,F,0.5,Single,Corporate Auto,L3,1,Branch,Four-Door Car,0.5
California,No,0.0,0.5,2.0,F,0.5,Married,Corporate Auto,L2,2,Branch,Four-Door Car,0.5
Oregon,No,0.0,0.5,1.0,M,0.5,Married,Personal Auto,L3,2,Call Center,Four-Door Car,1.0
California,No,1.0,0.5,0.0,F,0.5,Single,Personal Auto,L3,1,Agent,Four-Door Car,0.0
